name,wmc,dit,noc,cbo,rfc,npm,bug
apache.tools.ant.types.DataType,22,2,28,37,44,7,0
apache.tools.ant.types.ArchiveFileSet,34,5,2,15,67,29,3
apache.tools.ant.taskdefs.rmic.XNewRmic,2,3,0,3,4,1,0
apache.tools.ant.taskdefs.Nice,4,3,0,3,16,4,0
apache.tools.ant.AntClassLoader,56,2,2,51,169,35,6
apache.tools.ant.types.selectors.DifferentSelector,5,5,0,8,16,3,0
apache.tools.ant.types.selectors.modifiedselector.DigestAlgorithm,7,1,0,3,26,7,0
apache.tools.ant.taskdefs.cvslib.ChangeLogWriter,4,1,0,6,33,2,0
apache.tools.ant.taskdefs.TaskOutputStream,3,2,0,1,10,1,0
apache.tools.ant.types.resources.selectors.Size,6,1,0,3,10,6,0
apache.tools.ant.types.selectors.MajoritySelector,4,5,0,7,15,4,0
apache.tools.ant.taskdefs.condition.IsFailure,4,1,0,2,6,4,0
apache.tools.ant.types.selectors.SizeSelector,8,5,0,11,31,8,0
apache.tools.ant.util.DOMElementWriter,17,1,0,8,67,13,0
apache.tools.zip.ZipEntry,27,2,0,11,53,23,1
apache.tools.ant.types.AntFilterReader,10,3,0,8,32,10,0
apache.tools.ant.types.selectors.ExtendSelector,10,4,0,15,36,10,0
apache.tools.ant.taskdefs.JikesOutputParser,12,1,0,3,22,5,0
apache.tools.ant.taskdefs.LoadProperties,12,3,0,14,58,11,1
apache.tools.ant.taskdefs.condition.Not,2,3,0,3,8,2,0
apache.tools.ant.taskdefs.BuildNumber,7,3,0,4,38,3,0
apache.tools.ant.types.resources.comparators.Reverse,4,4,0,5,8,3,0
apache.tools.ant.taskdefs.email.Mailer,19,1,2,9,21,18,1
apache.tools.ant.types.selectors.OrSelector,3,5,0,7,14,3,0
apache.tools.ant.types.spi.Service,7,2,0,5,27,7,0
apache.tools.ant.taskdefs.Pack,14,3,2,8,38,8,2
apache.tools.ant.types.Mapper,15,3,0,25,44,13,0
apache.tools.ant.Task,29,2,102,184,66,19,0
apache.tools.ant.types.selectors.modifiedselector.HashvalueAlgorithm,4,1,0,2,13,4,0
apache.tools.ant.util.SourceFileScanner,7,1,0,15,23,6,0
apache.tools.ant.types.selectors.FilenameSelector,8,5,0,10,23,8,0
apache.tools.ant.util.regexp.RegexpMatcherFactory,6,1,1,8,22,3,0
apache.tools.ant.taskdefs.Mkdir,4,3,0,3,18,3,0
apache.tools.ant.filters.StripJavaComments,4,4,0,3,7,4,0
apache.tools.ant.taskdefs.Taskdef,1,7,0,1,7,1,0
apache.tools.ant.util.LineTokenizer,4,2,0,8,10,4,0
apache.tools.ant.filters.ReplaceTokens,14,5,0,7,49,7,1
apache.tools.ant.PathTokenizer,3,1,0,3,18,3,0
apache.tools.ant.filters.BaseParamFilterReader,4,4,12,15,7,3,0
apache.tools.ant.types.selectors.MappingSelector,8,4,2,9,24,6,0
apache.tools.ant.util.ConcatFileInputStream,9,2,0,4,19,6,0
apache.tools.ant.types.resources.selectors.And,3,4,0,4,9,3,0
apache.tools.ant.filters.ExpandProperties,4,4,0,4,13,4,0
apache.tools.ant.types.selectors.modifiedselector.PropertiesfileCache,12,1,0,2,42,12,0
apache.tools.ant.taskdefs.cvslib.RCSFile,5,1,0,2,7,0,0
apache.tools.ant.listener.TimestampedLogger,4,2,0,1,15,1,0
apache.tools.mail.ErrorInQuitException,1,4,0,1,3,1,0
apache.tools.ant.taskdefs.UpToDate,14,3,0,17,48,11,1
apache.tools.ant.types.resources.comparators.Exists,2,4,0,2,4,1,0
apache.tools.ant.util.ProxySetup,3,1,0,2,13,3,0
apache.tools.ant.taskdefs.ManifestTask,7,3,0,9,39,7,1
apache.tools.ant.BuildEvent,11,2,0,17,15,11,0
apache.tools.ant.util.CompositeMapper,2,2,0,3,13,2,0
apache.tools.ant.util.ScriptRunnerBase,25,1,1,13,59,20,0
apache.tools.ant.taskdefs.cvslib.RedirectingStreamHandler,3,2,0,5,12,1,0
apache.tools.ant.taskdefs.condition.IsTrue,3,2,0,4,6,3,0
apache.tools.ant.taskdefs.Zip,49,4,1,31,210,28,8
apache.tools.ant.types.resources.selectors.Or,3,4,0,4,9,3,0
apache.tools.ant.util.GlobPatternMapper,8,1,2,5,22,6,3
apache.tools.ant.taskdefs.War,11,6,0,6,34,7,2
apache.tools.ant.types.Permissions,12,1,0,8,34,6,0
apache.tools.ant.taskdefs.condition.HasFreeSpace,7,1,0,5,16,6,0
apache.tools.ant.taskdefs.email.UUMailer,2,3,0,3,15,0,0
apache.tools.ant.util.ResourceUtils,14,1,0,30,96,10,1
apache.tools.ant.AntTypeDefinition,21,1,2,14,47,18,0
apache.tools.ant.taskdefs.AntlibDefinition,5,3,3,6,12,5,0
apache.tools.ant.types.CommandlineJava,39,1,0,21,94,33,0
apache.tools.ant.filters.ClassConstants,4,4,0,4,20,4,0
apache.tools.ant.taskdefs.Cvs,1,4,0,1,2,1,0
apache.tools.ant.types.Reference,9,1,1,63,15,9,0
apache.tools.ant.filters.LineContains,10,5,0,6,29,7,0
apache.tools.ant.taskdefs.Available,22,3,0,12,71,17,1
apache.tools.ant.types.selectors.TypeSelector,6,5,0,8,21,6,0
apache.tools.ant.taskdefs.Sleep,10,3,0,2,20,9,0
apache.tools.ant.types.resources.comparators.ResourceComparator,5,3,9,18,12,4,0
apache.tools.ant.types.resources.comparators.Type,2,4,0,2,4,1,0
apache.tools.ant.filters.TabsToSpaces,7,5,0,4,18,5,0
apache.tools.ant.taskdefs.compilers.Jikes,2,2,0,8,34,2,0
apache.tools.ant.util.IdentityStack,6,5,0,1,12,6,0
apache.tools.ant.UnknownElement,31,3,0,29,119,19,3
apache.tools.ant.taskdefs.Checksum,24,4,0,13,103,18,2
apache.tools.ant.taskdefs.Basename,5,3,0,4,15,5,0
apache.tools.ant.util.ChainedMapper,2,2,0,2,15,2,0
apache.tools.ant.taskdefs.BUnzip2,4,4,0,6,29,1,0
apache.tools.ant.util.Base64Converter,4,1,1,2,7,3,0
apache.tools.ant.types.resources.selectors.Majority,4,4,0,3,11,4,0
apache.tools.ant.taskdefs.FixCRLF,21,4,0,15,72,16,2
apache.tools.ant.taskdefs.Javac,77,4,1,29,123,68,3
apache.tools.ant.types.ArchiveScanner,17,2,2,9,51,12,2
apache.tools.ant.types.FilterSetCollection,5,1,0,9,13,5,0
apache.tools.ant.taskdefs.condition.IsSigned,5,3,0,7,26,5,1
apache.tools.ant.taskdefs.cvslib.CvsVersion,7,4,0,3,26,7,1
apache.tools.ant.taskdefs.XSLTProcess,44,4,0,28,137,31,2
apache.tools.ant.taskdefs.SQLExec,26,4,0,12,109,20,8
apache.tools.ant.util.FileUtils,58,1,0,142,158,56,4
apache.tools.ant.PropertyHelper,23,1,0,4,56,18,3
apache.tools.ant.types.Substitution,4,3,0,5,7,4,1
apache.tools.ant.taskdefs.cvslib.CvsUser,6,1,0,2,11,6,0
apache.tools.zip.ExtraFieldUtils,7,1,0,4,41,6,2
apache.tools.ant.filters.TailFilter,10,5,0,5,30,6,0
apache.tools.ant.taskdefs.Length,17,3,0,18,53,14,1
apache.tools.ant.types.selectors.SelectSelector,13,5,0,9,34,12,0
apache.tools.ant.listener.AnsiColorLogger,3,2,0,1,17,1,0
apache.tools.ant.types.Quantifier,6,2,0,9,16,5,0
apache.tools.ant.taskdefs.ResourceCount,8,3,0,7,25,8,0
apache.tools.ant.taskdefs.Concat,29,3,0,25,109,20,4
apache.tools.ant.util.ScriptRunnerCreator,3,1,0,6,17,2,0
apache.tools.ant.types.resources.comparators.Content,4,4,0,4,7,3,0
apache.tools.ant.util.JavaEnvUtils,16,1,0,29,40,11,0
apache.tools.ant.util.XmlConstants,1,1,0,0,2,1,0
apache.tools.ant.taskdefs.Unpack,13,3,2,9,36,8,1
apache.tools.tar.TarUtils,8,1,0,1,14,8,0
apache.tools.ant.types.resources.selectors.Type,5,1,0,6,10,4,0
apache.tools.ant.types.FileList,12,3,0,13,32,10,0
apache.tools.ant.ExitException,3,5,0,3,7,3,0
apache.tools.ant.taskdefs.email.Header,5,1,0,3,6,5,0
apache.tools.ant.taskdefs.Tstamp,6,3,0,5,27,4,0
apache.tools.ant.types.TarFileSet,21,6,1,10,42,15,0
apache.tools.ant.taskdefs.compilers.Sj,3,2,0,5,12,2,0
apache.tools.ant.taskdefs.condition.Http,4,2,0,4,15,4,0
apache.tools.ant.taskdefs.Rename,6,3,0,5,21,5,0
apache.tools.ant.taskdefs.Jikes,2,1,0,6,30,0,0
apache.tools.ant.taskdefs.condition.Matches,8,2,0,6,15,8,0
apache.tools.ant.taskdefs.Exec,10,3,0,5,45,7,0
apache.tools.ant.util.TaskLogger,6,1,0,1,8,6,0
apache.tools.ant.taskdefs.condition.FilesMatch,6,1,0,4,15,5,0
apache.tools.ant.util.PackageNameMapper,2,2,0,1,6,1,0
apache.tools.ant.types.selectors.SelectorUtils,18,1,0,10,47,15,1
apache.tools.ant.taskdefs.LoadFile,2,4,0,3,5,2,0
apache.tools.ant.taskdefs.condition.HasMethod,12,2,0,7,37,9,0
apache.tools.ant.taskdefs.WhichResource,8,3,0,5,30,7,0
apache.tools.ant.util.facade.ImplementationSpecificArgument,3,3,2,8,6,3,0
apache.tools.ant.taskdefs.Move,9,4,0,10,64,1,1
apache.tools.ant.taskdefs.condition.Equals,6,1,0,3,11,6,0
apache.tools.ant.types.Comparison,5,2,2,9,10,4,0
apache.tools.ant.IntrospectionHelper,35,1,0,32,120,24,4
apache.tools.ant.taskdefs.cvslib.ChangeLogTask,15,4,0,13,87,10,2
apache.tools.ant.taskdefs.cvslib.ChangeLogParser,12,1,0,4,41,3,1
apache.tools.ant.taskdefs.cvslib.CvsTagDiff,13,4,0,6,72,8,1
apache.tools.bzip2.CBZip2OutputStream,41,2,0,6,60,8,6
apache.tools.ant.taskdefs.condition.Os,13,1,0,27,23,12,1
apache.tools.ant.util.ScriptRunnerHelper,16,1,0,13,31,13,0
apache.tools.ant.taskdefs.Exit,12,3,0,6,30,8,0
apache.tools.ant.util.MergingMapper,4,1,0,4,5,4,0
apache.tools.ant.taskdefs.MacroDef,21,4,0,15,76,16,1
apache.tools.ant.taskdefs.TempFile,9,3,0,5,18,8,1
apache.tools.ant.taskdefs.MakeUrl,14,3,0,7,46,8,0
apache.tools.ant.taskdefs.condition.IsReachable,7,2,0,3,30,5,0
apache.tools.ant.taskdefs.DefaultExcludes,6,3,0,4,17,6,0
apache.tools.ant.filters.StripLineBreaks,7,5,0,4,17,5,0
apache.tools.ant.taskdefs.Transform,1,5,0,1,2,1,0
apache.tools.ant.DefaultLogger,18,1,4,14,42,12,3
apache.tools.ant.util.ClasspathUtils,12,1,0,19,33,10,0
apache.tools.ant.taskdefs.Copydir,8,4,0,5,39,7,0
apache.tools.ant.types.PatternSet,22,3,0,14,62,17,0
apache.tools.ant.types.Environment,4,1,1,8,10,4,0
apache.tools.ant.helper.ProjectHelperImpl,15,2,0,18,66,2,0
apache.tools.ant.taskdefs.Expand,16,3,1,18,80,11,4
apache.tools.ant.types.selectors.BaseSelectorContainer,28,4,5,23,45,28,1
apache.tools.ant.types.selectors.PresentSelector,7,4,0,13,26,7,0
apache.tools.ant.input.MultipleChoiceInputRequest,3,2,0,3,10,3,0
apache.tools.ant.taskdefs.EchoXML,4,3,0,6,15,4,1
apache.tools.mail.MailMessage,31,1,0,5,70,13,0
apache.tools.ant.taskdefs.condition.Socket,4,2,0,4,13,4,0
apache.tools.ant.ExitStatusException,4,5,0,5,7,4,0
apache.tools.ant.Target,28,1,0,34,63,24,1
apache.tools.ant.types.resources.selectors.Name,6,1,0,3,11,6,0
apache.tools.ant.taskdefs.condition.Contains,5,1,0,3,9,5,0
apache.tools.ant.ProjectComponent,10,1,28,67,14,10,0
apache.tools.ant.filters.StripLineComments,8,5,0,5,26,5,0
apache.tools.ant.types.TimeComparison,8,2,1,8,15,7,0
apache.tools.tar.TarBuffer,21,1,0,2,36,17,1
apache.tools.ant.types.selectors.NotSelector,4,6,0,8,13,4,0
apache.tools.ant.taskdefs.DependSet,14,4,0,25,59,8,3
apache.tools.ant.types.selectors.DependSelector,3,5,0,10,12,3,0
apache.tools.ant.taskdefs.Copy,45,3,2,25,157,27,5
apache.tools.ant.util.WeakishReference,3,1,1,1,6,2,0
apache.tools.ant.taskdefs.CVSPass,6,3,0,3,32,5,0
apache.tools.ant.types.LogLevel,5,2,2,3,8,3,0
apache.tools.ant.types.resources.comparators.Size,2,4,0,2,4,1,0
apache.tools.ant.types.PropertySet,24,3,0,21,96,20,0
apache.tools.ant.util.CollectionUtils,7,1,0,5,19,7,4
apache.tools.ant.Project,120,1,0,365,288,103,10
apache.tools.ant.taskdefs.Replace,30,4,0,10,100,16,3
apache.tools.zip.UnrecognizedExtraField,10,1,0,3,13,10,1
apache.tools.ant.types.Path,34,3,0,112,112,28,1
apache.tools.ant.types.RegularExpression,8,3,0,10,15,5,0
apache.tools.ant.taskdefs.CopyPath,11,3,0,9,38,9,0
apache.tools.ant.taskdefs.compilers.Jvc,2,2,0,8,26,2,0
apache.tools.tar.TarOutputStream,15,3,0,3,39,14,1
apache.tools.ant.taskdefs.Ear,8,6,0,7,31,4,1
apache.tools.ant.taskdefs.Rmic,48,4,0,25,112,44,2
apache.tools.ant.input.DefaultInputHandler,4,1,1,8,26,2,0
apache.tools.ant.util.RegexpPatternMapper,7,1,0,4,24,6,1
apache.tools.mail.MailPrintStream,5,4,0,1,9,3,0
apache.tools.ant.taskdefs.condition.Xor,2,3,0,3,7,2,0
apache.tools.ant.util.FlatFileNameMapper,4,1,0,2,7,4,0
apache.tools.ant.types.resources.selectors.Compare,8,3,0,11,33,6,0
apache.tools.ant.filters.util.ChainReaderHelper,9,1,0,17,39,8,1
apache.tools.ant.taskdefs.ManifestException,1,3,0,6,2,1,0
apache.tools.ant.taskdefs.ExecuteWatchdog,9,1,0,17,23,8,0
apache.tools.ant.util.TeeOutputStream,6,2,0,4,12,6,0
apache.tools.ant.util.regexp.RegexpFactory,4,2,0,7,18,3,0
apache.tools.ant.filters.TokenFilter,19,4,0,19,41,19,0
apache.tools.ant.util.OutputStreamFunneler,12,1,0,2,21,4,0
apache.tools.ant.taskdefs.SubAnt,31,3,0,15,109,27,1
apache.tools.ant.taskdefs.Ant,28,3,0,18,132,19,3
apache.tools.ant.util.ReflectWrapper,6,1,0,3,14,6,0
apache.tools.ant.util.DateUtils,11,1,0,4,36,8,1
apache.tools.ant.types.FilterChain,25,3,1,35,39,25,0
apache.tools.ant.input.GreedyInputHandler,2,2,0,6,20,2,0
apache.tools.ant.taskdefs.StreamPumper,10,1,0,5,18,8,1
apache.tools.ant.taskdefs.JDBCTask,26,3,1,8,60,20,1
apache.tools.ant.taskdefs.email.EmailTask,32,3,2,16,97,32,4
apache.tools.ant.taskdefs.Execute,33,1,0,70,121,25,0
apache.tools.ant.util.KeepAliveOutputStream,2,3,0,2,3,2,0
apache.tools.ant.XmlLogger,16,1,0,12,75,12,1
apache.tools.ant.filters.StringInputStream,2,3,0,1,5,2,0
apache.tools.ant.taskdefs.rmic.DefaultRmicAdapter,15,1,4,12,53,5,3
apache.tools.ant.taskdefs.Dirname,4,3,0,4,10,4,0
apache.tools.ant.types.TarScanner,2,3,0,7,17,1,0
apache.tools.ant.filters.ConcatFilter,9,5,0,4,28,8,0
apache.tools.ant.taskdefs.ImportTask,5,3,0,7,31,4,0
apache.tools.ant.taskdefs.SendEmail,2,4,0,1,5,2,0
apache.tools.ant.taskdefs.Delete,46,4,0,39,135,40,5
apache.tools.ant.util.StringTokenizer,8,2,1,4,18,7,0
apache.tools.ant.taskdefs.Input,8,3,0,8,32,8,0
apache.tools.ant.taskdefs.XmlProperty,34,3,0,9,106,15,1
apache.tools.ant.Main,23,1,0,17,126,5,4
apache.tools.ant.filters.LineContainsRegExp,10,5,0,7,32,7,0
apache.tools.ant.types.FileSet,6,4,5,64,17,5,0
apache.tools.ant.taskdefs.condition.ResourcesMatch,4,1,0,6,18,4,0
apache.tools.ant.taskdefs.ConditionTask,5,3,0,4,18,5,0
apache.tools.ant.taskdefs.Java,60,3,0,35,178,43,2
apache.tools.ant.util.FileTokenizer,3,2,1,4,5,3,0
apache.tools.ant.taskdefs.Copyfile,6,3,0,4,24,6,0
apache.tools.ant.TaskAdapter,6,3,0,7,28,6,0
apache.tools.ant.taskdefs.AntStructure,8,3,0,6,36,4,0
apache.tools.ant.taskdefs.cvslib.CVSEntry,9,1,0,4,19,9,0
apache.tools.ant.NoBannerLogger,4,2,0,4,17,4,1
apache.tools.ant.taskdefs.Antlib,7,3,0,10,46,4,1
apache.tools.ant.types.resources.selectors.InstanceOf,9,1,0,7,21,9,0
apache.tools.ant.MagicNames,1,1,0,0,2,0,2
apache.tools.ant.types.RedirectorElement,28,3,0,13,85,24,0
apache.tools.ant.taskdefs.compilers.Kjc,3,2,0,10,23,2,0
apache.tools.ant.types.resources.selectors.None,3,4,0,3,9,3,0
apache.tools.ant.taskdefs.Classloader,10,3,0,6,38,10,3
apache.tools.ant.taskdefs.Tar,22,4,0,25,172,10,4
apache.tools.ant.taskdefs.rmic.WLRmic,4,2,0,9,22,4,2
apache.tools.ant.taskdefs.SignJar,20,4,0,9,56,15,2
apache.tools.ant.taskdefs.Definer,25,5,1,14,91,16,1
apache.tools.ant.taskdefs.compilers.AptExternalCompilerAdapter,3,2,0,6,15,2,0
apache.tools.ant.types.ResourceLocation,7,1,1,6,8,7,0
apache.tools.ant.types.selectors.modifiedselector.ModifiedSelector,40,5,0,30,121,36,2
apache.tools.ant.taskdefs.condition.ConditionBase,25,2,7,27,38,21,0
apache.tools.ant.util.ReflectUtil,6,1,0,4,15,5,1
apache.tools.ant.taskdefs.Get,11,3,0,9,54,10,3
apache.tools.ant.util.RetryHandler,2,1,0,2,9,2,0
apache.tools.ant.types.mappers.FilterMapper,4,4,0,7,19,4,0
apache.tools.zip.ZipFile,17,1,0,13,73,10,7
apache.tools.ant.taskdefs.compilers.CompilerAdapterFactory,4,1,0,14,27,1,0
apache.tools.ant.util.LazyHashtable,9,3,0,0,16,8,0
apache.tools.ant.types.selectors.DateSelector,14,5,0,12,41,13,0
apache.tools.ant.taskdefs.condition.IsFileSelected,6,4,0,7,16,5,0
apache.tools.ant.taskdefs.ExecuteOn,31,4,4,29,104,20,2
apache.tools.ant.taskdefs.PathConvert,21,3,0,12,61,15,0
apache.tools.tar.TarEntry,35,1,0,8,73,34,1
apache.tools.ant.types.resources.selectors.Not,4,1,0,5,7,4,0
apache.tools.ant.taskdefs.Echo,8,3,0,6,27,8,0
apache.tools.ant.util.DOMUtils,7,1,0,3,15,7,0
apache.tools.ant.helper.DefaultExecutor,4,1,0,4,8,3,0
apache.tools.ant.util.Watchdog,7,1,0,3,22,6,1
apache.tools.ant.taskdefs.DiagnosticsTask,3,3,0,3,5,2,0
apache.tools.ant.taskdefs.condition.And,2,3,0,3,7,2,0
apache.tools.ant.types.Commandline,31,1,0,81,71,27,2
apache.tools.ant.UnsupportedElementException,2,5,0,3,3,2,0
apache.tools.ant.taskdefs.Recorder,20,3,0,9,46,17,2
apache.tools.ant.types.selectors.AbstractSelectorContainer,27,3,2,25,41,27,1
apache.tools.ant.taskdefs.compilers.Javac13,2,2,0,6,13,2,0
apache.tools.ant.taskdefs.compilers.Javac12,2,2,0,10,22,2,0
apache.tools.ant.filters.HeadFilter,10,5,0,5,25,6,0
apache.tools.ant.dispatch.DispatchTask,4,3,1,3,5,4,0
apache.tools.ant.taskdefs.Jar,31,5,2,24,152,13,6
apache.tools.zip.ZipLong,10,1,0,3,11,10,1
apache.tools.ant.util.ReaderInputStream,9,2,1,2,23,9,0
apache.tools.ant.types.selectors.ContainsSelector,9,5,0,15,34,9,0
apache.tools.ant.taskdefs.GenerateKey,14,3,0,6,34,14,0
apache.tools.ant.taskdefs.Typedef,1,6,1,3,2,1,0
apache.tools.ant.helper.SingleCheckExecutor,3,1,0,4,7,3,0
apache.tools.ant.types.Resource,29,3,7,89,59,27,0
apache.tools.ant.types.Description,5,3,0,8,26,3,0
apache.tools.ant.types.FlexInteger,3,1,0,0,7,3,0
apache.tools.ant.taskdefs.Filter,6,3,0,5,17,5,0
apache.tools.ant.taskdefs.AbstractCvsTask,42,3,4,19,107,33,1
apache.tools.ant.BuildException,15,4,3,499,30,15,0
apache.tools.ant.taskdefs.Sync,18,3,0,12,80,12,4
apache.tools.ant.types.EnumeratedAttribute,9,1,59,62,22,8,0
apache.tools.ant.util.ConcatResourceInputStream,10,2,0,6,26,7,0
apache.tools.ant.types.selectors.modifiedselector.EqualComparator,3,1,0,1,5,3,0
apache.tools.ant.taskdefs.condition.IsFalse,3,2,0,4,6,3,0
apache.tools.ant.taskdefs.RecorderEntry,25,1,0,10,53,17,1
apache.tools.ant.dispatch.DispatchUtils,2,1,0,6,23,2,0
apache.tools.ant.taskdefs.Manifest,16,1,0,8,76,16,1
apache.tools.ant.types.resources.selectors.Exists,2,1,0,6,4,2,0
apache.tools.bzip2.CBZip2InputStream,27,2,0,6,46,4,1
apache.tools.ant.taskdefs.compilers.JavacExternal,3,2,0,8,24,2,0
apache.tools.ant.listener.MailLogger,7,2,0,11,74,2,4
apache.tools.ant.util.UUEncoder,6,1,0,1,16,2,0
apache.tools.ant.taskdefs.ExecuteJava,13,1,0,24,82,13,0
apache.tools.ant.taskdefs.condition.ParserSupports,8,2,0,5,19,7,0
apache.tools.ant.taskdefs.KeySubst,8,3,0,2,40,8,0
apache.tools.ant.types.FilterSet,26,3,0,12,85,19,2
apache.tools.ant.types.selectors.modifiedselector.ChecksumAlgorithm,6,1,0,3,25,6,0
apache.tools.ant.input.PropertyFileInputHandler,3,1,0,4,19,2,0
apache.tools.ant.types.DTDLocation,1,2,1,3,2,1,0
apache.tools.ant.taskdefs.Deltree,4,3,0,3,18,3,0
apache.tools.ant.taskdefs.rmic.KaffeRmic,5,2,0,9,25,3,0
apache.tools.ant.input.InputRequest,7,1,1,6,9,7,0
apache.tools.ant.UnsupportedAttributeException,2,5,0,4,3,2,0
apache.tools.ant.taskdefs.Touch,20,3,0,18,70,13,2
apache.tools.ant.types.selectors.SignedSelector,3,3,0,4,11,3,0
apache.tools.ant.filters.PrefixLines,7,5,0,4,23,5,0
apache.tools.ant.taskdefs.Patch,11,3,0,10,39,11,0
apache.tools.ant.taskdefs.email.EmailAddress,8,1,0,5,16,7,0
apache.tools.ant.types.XMLCatalog,28,3,0,17,105,13,0
apache.tools.bzip2.CRC,8,1,0,2,9,0,0
apache.tools.ant.taskdefs.compilers.AptCompilerAdapter,5,2,0,10,34,2,0
apache.tools.ant.taskdefs.GZip,3,4,0,5,20,1,0
apache.tools.ant.taskdefs.cvslib.CvsTagEntry,7,1,0,1,11,7,0
apache.tools.ant.util.ContainerMapper,8,1,2,4,17,7,0
apache.tools.ant.util.XMLFragment,7,2,1,6,21,4,0
apache.tools.ant.taskdefs.Redirector,42,1,0,24,109,30,2
apache.tools.zip.ZipShort,10,1,0,8,11,10,1
apache.tools.ant.types.selectors.AndSelector,3,5,0,7,14,3,0
apache.tools.ant.taskdefs.Sequential,3,3,0,3,10,3,0
apache.tools.ant.types.AbstractFileSet,59,3,3,38,121,57,3
apache.tools.ant.util.IdentityMapper,4,1,0,8,5,4,0
apache.tools.ant.util.JAXPUtils,13,1,0,12,32,9,0
apache.tools.ant.util.UnPackageNameMapper,2,2,0,1,6,1,0
apache.tools.ant.taskdefs.MatchingTask,42,3,21,47,98,40,0
apache.tools.ant.taskdefs.rmic.SunRmic,2,2,0,8,21,2,2
apache.tools.ant.Diagnostics,30,1,0,10,104,5,3
apache.tools.ant.util.LineOrientedOutputStream,7,2,2,2,15,5,0
apache.tools.ant.taskdefs.LoadResource,8,3,1,10,45,8,1
apache.tools.ant.types.spi.Provider,4,2,0,4,8,4,0
apache.tools.ant.types.resources.comparators.Date,2,4,0,3,4,1,1
apache.tools.ant.Location,11,1,0,150,26,9,0
apache.tools.ant.types.ZipFileSet,9,6,0,12,28,4,0
apache.tools.ant.taskdefs.GUnzip,4,4,0,5,26,1,0
apache.tools.ant.util.LeadPipeInputStream,9,3,0,3,20,9,0
apache.tools.ant.helper.AntXMLContext,28,1,0,11,52,28,0
apache.tools.tar.TarInputStream,15,3,0,5,42,15,1
apache.tools.ant.types.selectors.NoneSelector,3,5,1,9,14,3,0
apache.tools.ant.taskdefs.condition.Or,2,3,0,3,7,2,0
apache.tools.ant.taskdefs.Chmod,18,5,0,11,60,16,1
apache.tools.ant.types.selectors.ContainsRegexpSelector,7,5,0,15,32,7,0
apache.tools.ant.types.Assertions,13,3,0,11,40,10,0
apache.tools.ant.taskdefs.condition.IsReference,4,2,0,6,14,4,1
apache.tools.ant.helper.ProjectHelper2,17,2,0,17,85,4,1
apache.tools.ant.taskdefs.ProcessDestroyer,7,1,0,2,36,5,0
apache.tools.ant.types.resources.comparators.Name,2,4,0,2,5,1,0
apache.tools.ant.filters.EscapeUnicode,5,5,0,3,19,4,0
apache.tools.ant.util.regexp.RegexpUtil,3,1,0,6,4,3,0
apache.tools.ant.taskdefs.PumpStreamHandler,16,1,3,14,26,9,1
apache.tools.ant.taskdefs.Parallel,18,3,0,8,52,9,1
apache.tools.ant.util.PropertyOutputStream,3,3,0,3,8,3,0
apache.tools.ant.taskdefs.email.PlainMailer,3,2,1,8,43,1,1
apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter,25,1,10,26,103,3,2
apache.tools.ant.taskdefs.BZip2,3,4,0,6,22,1,0
