Name,SumCyclomatic,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountDeclMethodAll,CountDeclMethodPublic,PercentLackOfCohesion,bug
org.apache.tools.ant.taskdefs.GZip,12,2.0,0.0,2.0,23.0,3.0,60.0,0.0
org.apache.tools.ant.taskdefs.GenerateKey,33,2.0,0.0,5.0,31.0,13.0,83.0,0.0
org.apache.tools.ant.taskdefs.Get,31,2.0,0.0,3.0,25.0,6.0,71.0,0.0
org.apache.tools.ant.taskdefs.Jar,11,4.0,1.0,4.0,55.0,3.0,58.0,0.0
org.apache.tools.ant.taskdefs.Java,38,2.0,2.0,12.0,39.0,18.0,80.0,0.0
org.apache.tools.ant.taskdefs.Javac,63,3.0,1.0,9.0,70.0,39.0,93.0,0.0
org.apache.tools.ant.taskdefs.JavacOutputStream,7,2.0,0.0,1.0,4.0,1.0,41.0,0.0
org.apache.tools.ant.taskdefs.Javadoc,135,2.0,0.0,17.0,81.0,58.0,94.0,0.0
org.apache.tools.ant.taskdefs.Jikes,9,1.0,0.0,4.0,2.0,0.0,0.0,0.0
org.apache.tools.ant.taskdefs.JikesOutputParser,22,1.0,0.0,2.0,12.0,5.0,85.0,0.0
org.apache.tools.ant.taskdefs.KeySubst,16,2.0,0.0,1.0,25.0,7.0,71.0,0.0
org.apache.tools.ant.taskdefs.LogOutputStream,10,2.0,1.0,2.0,7.0,4.0,67.0,0.0
org.apache.tools.ant.taskdefs.LogStreamHandler,1,2.0,0.0,2.0,12.0,1.0,0.0,0.0
org.apache.tools.ant.taskdefs.MatchingTask,16,2.0,23.0,5.0,29.0,10.0,54.0,0.0
org.apache.tools.ant.taskdefs.Mkdir,6,2.0,0.0,1.0,20.0,2.0,0.0,1.0
org.apache.tools.ant.taskdefs.Move,24,3.0,0.0,3.0,38.0,1.0,0.0,0.0
org.apache.tools.ant.taskdefs.Patch,17,2.0,0.0,6.0,26.0,8.0,54.0,0.0
org.apache.tools.ant.taskdefs.Property,61,2.0,0.0,7.0,44.0,19.0,88.0,2.0
org.apache.tools.ant.taskdefs.PumpStreamHandler,13,1.0,1.0,1.0,11.0,8.0,77.0,0.0
org.apache.tools.ant.taskdefs.Rename,9,2.0,0.0,1.0,22.0,4.0,50.0,0.0
org.apache.tools.ant.taskdefs.Replace,40,3.0,0.0,5.0,44.0,12.0,80.0,1.0
org.apache.tools.ant.taskdefs.Rmic,49,3.0,0.0,11.0,47.0,15.0,88.0,1.0
org.apache.tools.ant.taskdefs.SQLExec,77,2.0,0.0,8.0,40.0,18.0,90.0,0.0
org.apache.tools.ant.taskdefs.SignJar,32,2.0,0.0,4.0,31.0,12.0,83.0,0.0
org.apache.tools.ant.taskdefs.StreamPumper,5,1.0,0.0,0.0,2.0,2.0,0.0,0.0
org.apache.tools.ant.taskdefs.Tar,34,3.0,0.0,9.0,36.0,5.0,71.0,0.0
org.apache.tools.ant.taskdefs.TaskOutputStream,5,2.0,0.0,1.0,3.0,1.0,22.0,0.0
org.apache.tools.ant.taskdefs.Taskdef,14,2.0,0.0,4.0,25.0,7.0,61.0,0.0
org.apache.tools.ant.taskdefs.Touch,18,2.0,0.0,2.0,23.0,4.0,60.0,0.0
org.apache.tools.ant.taskdefs.Transform,20,4.0,0.0,7.0,54.0,3.0,62.0,0.0
org.apache.tools.ant.taskdefs.Tstamp,4,2.0,0.0,2.0,20.0,2.0,0.0,0.0
org.apache.tools.ant.taskdefs.Untar,14,2.0,0.0,5.0,21.0,3.0,33.0,0.0
org.apache.tools.ant.taskdefs.UpToDate,10,3.0,0.0,4.0,35.0,5.0,70.0,0.0
org.apache.tools.ant.taskdefs.War,13,5.0,0.0,4.0,64.0,6.0,72.0,0.0
org.apache.tools.ant.taskdefs.XSLTLiaison,0,0.0,3.0,0.0,3.0,3.0,0.0,0.0
org.apache.tools.ant.taskdefs.XSLTProcess,38,3.0,0.0,5.0,42.0,10.0,81.0,0.0
org.apache.tools.ant.taskdefs.Zip,74,3.0,1.0,9.0,49.0,7.0,88.0,3.0
org.apache.tools.ant.taskdefs.compilers.CompilerAdapter,0,0.0,1.0,2.0,2.0,2.0,0.0,0.0
org.apache.tools.ant.taskdefs.compilers.CompilerAdapterFactory,11,1.0,0.0,8.0,3.0,1.0,0.0,0.0
org.apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter,40,1.0,4.0,11.0,7.0,2.0,66.0,1.0
org.apache.tools.ant.taskdefs.compilers.Javac12,4,2.0,0.0,5.0,8.0,1.0,0.0,0.0
org.apache.tools.ant.taskdefs.compilers.Javac13,3,2.0,0.0,5.0,8.0,1.0,0.0,0.0
org.apache.tools.ant.taskdefs.compilers.Jikes,15,2.0,0.0,6.0,8.0,1.0,0.0,0.0
org.apache.tools.ant.taskdefs.compilers.Jvc,7,2.0,0.0,6.0,8.0,1.0,0.0,0.0
org.apache.tools.ant.types.Commandline,42,1.0,0.0,3.0,17.0,17.0,70.0,0.0
org.apache.tools.ant.types.CommandlineJava,28,1.0,0.0,8.0,21.0,21.0,73.0,1.0
org.apache.tools.ant.types.DataType,11,1.0,4.0,3.0,8.0,4.0,70.0,0.0
org.apache.tools.ant.types.EnumeratedAttribute,8,1.0,8.0,1.0,5.0,5.0,50.0,0.0
org.apache.tools.ant.types.Environment,5,1.0,1.0,2.0,3.0,3.0,0.0,0.0
org.apache.tools.ant.types.FileSet,37,2.0,2.0,7.0,24.0,14.0,65.0,1.0
org.apache.tools.ant.types.Mapper,31,2.0,0.0,7.0,19.0,10.0,72.0,0.0
org.apache.tools.ant.types.Path,55,2.0,0.0,7.0,26.0,16.0,77.0,0.0
org.apache.tools.ant.types.PatternSet,47,2.0,0.0,5.0,25.0,11.0,76.0,1.0
org.apache.tools.ant.types.Reference,7,1.0,0.0,2.0,5.0,5.0,40.0,0.0
org.apache.tools.ant.types.ZipFileSet,12,3.0,0.0,4.0,32.0,8.0,68.0,0.0
org.apache.tools.ant.types.ZipScanner,7,2.0,0.0,0.0,27.0,5.0,60.0,0.0
org.apache.tools.ant.util.DOMElementWriter,27,1.0,0.0,0.0,3.0,3.0,66.0,0.0
org.apache.tools.ant.util.FileNameMapper,0,0.0,7.0,0.0,3.0,3.0,0.0,0.0
org.apache.tools.ant.util.FlatFileNameMapper,3,1.0,0.0,0.0,3.0,3.0,0.0,0.0
org.apache.tools.ant.util.GlobPatternMapper,7,1.0,0.0,0.0,4.0,3.0,50.0,0.0
org.apache.tools.ant.util.IdentityMapper,3,1.0,0.0,0.0,3.0,3.0,0.0,0.0
org.apache.tools.ant.util.MergingMapper,3,1.0,0.0,0.0,3.0,3.0,33.0,0.0
org.apache.tools.ant.util.RegexpPatternMapper,11,1.0,0.0,3.0,5.0,4.0,46.0,0.0
org.apache.tools.ant.util.SourceFileScanner,15,1.0,0.0,3.0,3.0,3.0,33.0,0.0
org.apache.tools.ant.util.regexp.JakartaOroMatcher,7,1.0,0.0,1.0,4.0,4.0,50.0,0.0
org.apache.tools.ant.util.regexp.JakartaRegexpMatcher,7,1.0,0.0,1.0,4.0,4.0,37.0,0.0
org.apache.tools.ant.util.regexp.RegexpMatcher,0,0.0,2.0,1.0,4.0,4.0,0.0,0.0
org.apache.tools.ant.util.regexp.RegexpMatcherFactory,7,1.0,0.0,2.0,3.0,2.0,0.0,0.0
org.apache.tools.mail.MailMessage,45,1.0,0.0,2.0,27.0,10.0,88.0,0.0
org.apache.tools.mail.MailPrintStream,9,2.0,0.0,0.0,5.0,3.0,80.0,0.0
org.apache.tools.mail.SmtpResponseReader,8,1.0,0.0,0.0,5.0,3.0,50.0,0.0
org.apache.tools.tar.TarBuffer,56,1.0,0.0,0.0,21.0,17.0,67.0,0.0
org.apache.tools.tar.TarConstants,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
org.apache.tools.tar.TarEntry,48,1.0,0.0,1.0,31.0,30.0,82.0,0.0
org.apache.tools.tar.TarInputStream,43,2.0,0.0,2.0,16.0,16.0,82.0,0.0
org.apache.tools.tar.TarOutputStream,28,2.0,0.0,3.0,15.0,14.0,77.0,0.0
org.apache.tools.tar.TarUtils,20,1.0,0.0,0.0,7.0,7.0,0.0,0.0
