name,wmc,dit,noc,cbo,rfc,npm,bug
bsh.ParserTreeConstants,1,1,0,2,1,0,0
bsh.ParserTokenManager,50,1,0,5,66,6,0
gnu.regexp.CharIndexedStringBuffer,4,1,0,2,7,3,0
gjt.sp.jedit.options.GutterOptionPane,3,6,0,4,27,3,0
gjt.sp.jedit.options.StyleOptionPane,8,6,0,6,31,1,1
bsh.BSHArrayInitializer,4,2,0,10,23,2,0
gjt.sp.jedit.pluginmgr.PluginListHandler,12,2,0,7,38,8,1
bsh.ASCII_UCodeESC_CharStream,27,1,0,3,40,21,0
gnu.regexp.RETokenEnd,3,2,0,4,9,0,0
gjt.sp.jedit.io.VFS,22,1,4,23,36,22,4
bsh.LHS,8,1,0,15,31,3,0
gnu.regexp.RETokenEndSub,3,2,0,4,5,0,0
gnu.regexp.RETokenRange,4,2,0,4,9,0,0
gjt.sp.jedit.options.ContextAddDialog,10,7,0,7,56,4,0
bsh.commands.dir,6,1,0,2,40,5,0
gnu.regexp.REException,4,3,0,4,13,3,0
bsh.BSHLHSPrimaryExpression,2,2,0,11,9,1,0
bsh.BshClassManager,25,1,0,10,37,22,0
bsh.Name,19,1,0,19,71,9,0
gnu.regexp.REMatch,15,1,0,19,28,11,0
gnu.regexp.REFilterReader,5,3,0,4,18,5,0
bsh.ParseException,6,3,0,3,19,5,0
bsh.Token,3,1,0,5,4,2,0
bsh.JThis,87,2,0,8,100,84,0
gjt.sp.jedit.msg.EditorExitRequested,2,3,0,5,4,2,0
bsh.BSHArguments,2,2,0,10,6,1,0
gjt.sp.jedit.options.ToolBarOptionPane,13,6,0,14,75,1,1
bsh.ReflectError,2,3,0,7,4,2,0
bsh.BSHImportDeclaration,2,2,0,10,9,1,0
bsh.BSHAssignment,3,2,0,11,18,1,0
gjt.sp.jedit.options.LoadSaveOptionPane,5,6,0,4,35,3,1
bsh.SimpleNode,19,1,35,50,30,19,0
bsh.BSHForStatement,2,2,0,12,10,1,0
bsh.BSHVariableDeclarator,2,2,0,10,9,1,0
gjt.sp.jedit.syntax.ParserRuleSet,17,1,0,8,22,17,1
gjt.sp.jedit.pluginmgr.PluginListDownloadProgress,7,6,0,7,33,0,1
gjt.sp.jedit.msg.BufferUpdate,6,3,0,14,14,5,0
bsh.Parser,399,1,0,47,487,82,0
gjt.sp.jedit.syntax.ParserRuleFactory,11,1,0,3,16,9,0
bsh.TokenMgrError,6,3,0,2,19,4,0
bsh.BSHThrowStatement,2,2,0,7,7,1,0
gjt.sp.jedit.options.ToolBarAddDialog,13,7,0,10,72,4,0
bsh.BSHTernaryExpression,2,2,0,7,6,1,0
bsh.XThis,5,2,0,4,18,2,0
bsh.BSHLiteral,5,2,0,7,20,2,0
gjt.sp.jedit.options.AbbrevsModel,10,2,0,8,29,8,0
gjt.sp.jedit.options.TextAreaOptionPane,3,6,0,4,24,3,0
gnu.regexp.CharIndexedReader,5,1,0,3,12,3,0
bsh.EvalError,11,3,2,51,20,9,0
gjt.sp.jedit.syntax.KeywordMap,8,1,0,5,15,6,0
bsh.ConsoleInterface,6,1,0,1,6,6,0
bsh.BSHBlock,3,2,0,14,10,2,0
bsh.BSHFormalParameters,2,2,0,9,6,1,0
bsh.ReflectManager,4,1,0,3,12,4,0
gjt.sp.jedit.pluginmgr.PluginManager,11,6,0,11,64,1,3
bsh.BSHPrimaryExpression,2,2,0,8,8,1,0
gjt.sp.jedit.msg.EditPaneUpdate,5,3,0,5,13,4,0
bsh.BSHTypedVariableDeclaration,3,2,0,11,13,1,0
gjt.sp.jedit.options.ModeOptionPane,12,6,0,6,38,1,3
gnu.regexp.RETokenStart,3,2,0,4,9,0,0
gjt.sp.jedit.options.StyleEditor,5,7,0,5,52,4,0
gjt.sp.jedit.proto.jeditresource.PluginResURLConnection,5,2,0,5,28,4,1
gnu.regexp.CharIndexed,3,1,0,24,3,3,0
bsh.InterpreterError,1,4,0,16,2,1,0
gjt.sp.jedit.syntax.ParserRule,1,1,0,6,2,0,0
gjt.sp.jedit.options.ShortcutsOptionPane,13,6,0,11,60,1,0
bsh.BSHMethodDeclaration,3,2,0,11,14,2,0
gjt.sp.jedit.options.ContextOptionPane,13,6,0,13,65,1,1
bsh.BSHSwitchLabel,2,2,0,7,5,2,0
gjt.sp.jedit.io.UrlVFS,6,2,0,4,19,6,1
bsh.BSHPrimarySuffix,5,2,0,16,35,1,0
bsh.BSHPrimitiveType,2,2,0,4,3,1,0
gjt.sp.jedit.io.BufferIORequest,11,2,0,10,96,3,9
gjt.sp.jedit.syntax.Token,2,1,0,4,7,2,1
bsh.BSHIfStatement,3,2,0,11,10,2,0
gjt.sp.jedit.syntax.SyntaxStyle,4,1,0,10,5,4,0
gnu.regexp.RE,45,2,0,34,107,26,0
gjt.sp.jedit.msg.EditorExiting,1,3,0,3,2,1,0
gnu.regexp.RETokenPOSIX,6,2,0,4,22,0,0
gnu.regexp.REFilterInputStream,5,3,0,4,18,5,0
gjt.sp.jedit.msg.SearchSettingsChanged,1,3,0,4,2,1,0
gnu.regexp.RETokenAny,4,2,0,4,8,0,0
bsh.NameSpace,51,1,1,44,135,35,0
bsh.ParserConstants,1,1,0,12,1,0,0
gjt.sp.jedit.msg.MacrosChanged,1,3,0,4,2,1,0
gjt.sp.jedit.pluginmgr.PluginManagerProgress,17,6,0,14,59,8,1
gnu.regexp.RETokenWordBoundary,3,2,0,4,8,0,0
bsh.BSHFormalParameter,3,2,0,9,7,1,0
gjt.sp.jedit.io.VFSManager,23,1,0,39,64,16,2
bsh.JJTParserState,12,1,0,3,25,0,0
bsh.StringUtil,5,1,0,1,24,5,0
gjt.sp.jedit.options.Abbrev,2,1,0,2,3,0,0
gnu.regexp.RETokenChar,5,2,0,5,12,0,0
gjt.sp.jedit.pluginmgr.InstallPluginsDialog,12,7,0,9,72,2,4
bsh.BSHCastExpression,6,2,0,16,45,6,0
gjt.sp.jedit.msg.ViewUpdate,5,3,0,6,13,4,0
bsh.BSHUnaryExpression,5,2,0,11,33,1,0
bsh.BSHReturnStatement,2,2,0,9,7,1,0
gnu.regexp.RETokenBackRef,3,2,0,4,8,0,0
gjt.sp.jedit.pluginmgr.PluginList,5,1,0,11,26,0,2
gnu.regexp.CharIndexedCharArray,4,1,0,2,5,3,0
bsh.TargetError,11,4,0,18,26,11,0
gnu.regexp.CharIndexedInputStream,5,1,0,3,12,3,0
bsh.BSHAllocationExpression,8,2,0,18,37,1,0
bsh.BSHMethodInvocation,2,2,0,12,17,1,0
gjt.sp.jedit.msg.VFSUpdate,3,2,0,6,9,3,0
bsh.BSHReturnType,2,2,0,8,5,1,0
bsh.BSHStatementExpressionList,2,2,0,7,6,1,0
bsh.BshMethod,4,1,0,13,20,4,0
gnu.regexp.IntPair,1,1,0,1,2,0,0
gjt.sp.jedit.io.FileVFS,21,2,0,12,94,19,6
gjt.sp.jedit.msg.EditorStarted,1,3,0,3,2,1,0
bsh.BSHAmbiguousName,7,2,0,16,17,6,0
gjt.sp.jedit.io.FileRootsVFS,6,2,0,4,20,5,0
bsh.BlockNameSpace,3,2,0,4,10,2,0
bsh.NameSource,2,1,0,2,2,2,0
gjt.sp.jedit.pluginmgr.Roster,5,1,0,9,14,0,0
bsh.CommandLineReader,4,3,0,1,8,4,0
bsh.CallStack,11,1,0,39,25,11,0
