address,PIM,WMC,DIT,NOC,CBO,RFC,bug
gnu.regexp.RETokenOneOf,0.0,5.0,3.0,0.0,8.0,22.0,0.0
gnu.regexp.RETokenPOSIX,0.0,6.0,3.0,0.0,7.0,22.0,0.0
gnu.regexp.RETokenRange,0.0,4.0,3.0,0.0,6.0,9.0,0.0
gnu.regexp.RETokenRepeated,0.0,7.0,3.0,0.0,5.0,22.0,0.0
gnu.regexp.RETokenStart,0.0,3.0,3.0,0.0,6.0,9.0,0.0
gnu.regexp.RETokenWordBoundary,0.0,3.0,3.0,0.0,6.0,8.0,0.0
bsh.Reflect,14.0,36.0,2.0,0.0,47.0,134.0,0.0
bsh.ReflectError,0.0,2.0,2.0,0.0,2.0,4.0,0.0
bsh.ReflectManager,3.0,4.0,2.0,0.0,8.0,14.0,0.0
bsh.ReturnControl,0.0,1.0,2.0,0.0,3.0,2.0,0.0
bsh.SimpleNode,18.0,19.0,2.0,35.0,12.0,37.0,0.0
bsh.StringUtil,4.0,5.0,2.0,0.0,7.0,24.0,0.0
bsh.TargetError,7.0,11.0,3.0,0.0,11.0,30.0,0.0
bsh.This,7.0,11.0,2.0,2.0,16.0,34.0,0.0
bsh.Token,2.0,3.0,2.0,0.0,3.0,5.0,1.0
bsh.TokenMgrError,1.0,6.0,2.0,0.0,6.0,22.0,0.0
bsh.XThis,5.0,5.0,3.0,0.0,9.0,19.0,0.0
bsh.commands.dir,4.0,6.0,2.0,0.0,11.0,42.0,0.0
