address,PIM,NMO,DIT,NOC,CBO,RFC,bug
gjt.sp.jedit.gui.CloseDialog,1.0,2.0,3.0,0.0,25.0,56.0,0.0
gjt.sp.jedit.options.ColorOptionPane,7.0,2.0,3.0,0.0,17.0,33.0,0.0
gjt.sp.jedit.options.ColorTableModel,6.0,0.0,2.0,0.0,9.0,21.0,0.0
bsh.CommandLineReader,3.0,0.0,2.0,0.0,8.0,10.0,0.0
gjt.sp.jedit.gui.CompleteWord,2.0,0.0,2.0,0.0,33.0,97.0,1.0
gjt.sp.jedit.buffer.ContentManager,7.0,0.0,2.0,0.0,5.0,18.0,0.0
gjt.sp.jedit.options.ContextAddDialog,1.0,2.0,3.0,0.0,32.0,63.0,0.0
gjt.sp.jedit.options.ContextOptionPane,7.0,2.0,3.0,0.0,24.0,51.0,0.0
gjt.sp.jedit.msg.CreateDockableWindow,9.0,1.0,3.0,0.0,5.0,15.0,0.0
gjt.sp.jedit.search.CurrentBufferSet,5.0,0.0,2.0,0.0,6.0,9.0,0.0
gjt.sp.jedit.gui.CurrentDirectoryMenu,1.0,0.0,3.0,0.0,16.0,33.0,0.0
gjt.sp.jedit.gui.DefaultInputHandler,15.0,4.0,3.0,0.0,24.0,56.0,1.0
gjt.sp.jedit.search.DirectoryListSet,7.0,2.0,3.0,0.0,4.0,13.0,0.0
gjt.sp.jedit.gui.DockableWindowManager,19.0,0.0,2.0,0.0,30.0,84.0,6.0
gjt.sp.jedit.options.DockingOptionPane,7.0,2.0,3.0,0.0,22.0,44.0,0.0
gjt.sp.jedit.buffer.DummyFoldHandler,5.0,1.0,3.0,0.0,2.0,3.0,0.0
gjt.sp.jedit.EBMessage,5.0,0.0,2.0,2.0,5.0,15.0,1.0
gjt.sp.jedit.EBPlugin,7.0,0.0,3.0,0.0,3.0,3.0,0.0
gjt.sp.jedit.gui.EditAbbrevDialog,2.0,0.0,2.0,0.0,19.0,38.0,0.0
gjt.sp.jedit.EditAction,11.0,0.0,2.0,1.0,6.0,18.0,2.0
gjt.sp.jedit.EditBus,8.0,0.0,2.0,0.0,15.0,34.0,0.0
gjt.sp.jedit.EditPane,12.0,0.0,2.0,0.0,33.0,132.0,3.0
gjt.sp.jedit.msg.EditPaneUpdate,3.0,0.0,2.0,0.0,6.0,13.0,0.0
gjt.sp.jedit.EditPlugin,6.0,0.0,2.0,1.0,5.0,12.0,0.0
gjt.sp.jedit.EditServer,3.0,0.0,2.0,0.0,27.0,55.0,2.0
gjt.sp.jedit.options.EditingOptionPane,7.0,2.0,3.0,0.0,11.0,24.0,1.0
gjt.sp.jedit.msg.EditorExitRequested,1.0,0.0,2.0,0.0,4.0,4.0,0.0
gjt.sp.jedit.msg.EditorExiting,0.0,0.0,2.0,0.0,2.0,2.0,0.0
gjt.sp.jedit.msg.EditorStarted,0.0,0.0,2.0,0.0,2.0,2.0,0.0
gjt.sp.jedit.gui.EnhancedButton,1.0,0.0,2.0,0.0,8.0,13.0,0.0
gjt.sp.jedit.gui.EnhancedCheckBoxMenuItem,3.0,0.0,2.0,0.0,20.0,41.0,0.0
gjt.sp.jedit.gui.EnhancedDialog,2.0,0.0,2.0,17.0,8.0,13.0,0.0
gjt.sp.jedit.gui.EnhancedMenu,0.0,0.0,2.0,6.0,9.0,22.0,0.0
gjt.sp.jedit.gui.EnhancedMenuItem,2.0,0.0,2.0,0.0,18.0,37.0,0.0
gjt.sp.jedit.gui.ErrorListCellRenderer,3.0,0.0,2.0,0.0,15.0,24.0,0.0
gjt.sp.jedit.gui.ErrorListDialog,0.0,2.0,3.0,0.0,25.0,39.0,0.0
bsh.EvalError,9.0,0.0,2.0,3.0,4.0,29.0,1.0
gjt.sp.jedit.buffer.ExplicitFoldHandler,5.0,1.0,3.0,0.0,4.0,6.0,0.0
gjt.sp.jedit.textarea.ExtensionManager,0.0,0.0,2.0,0.0,7.0,18.0,0.0
gjt.sp.jedit.io.FavoritesVFS,23.0,6.0,3.0,0.0,10.0,33.0,0.0
gjt.sp.jedit.browser.FileCellRenderer,2.0,0.0,2.0,0.0,17.0,36.0,0.0
gjt.sp.jedit.io.FileRootsVFS,20.0,5.0,3.0,0.0,15.0,24.0,2.0
gjt.sp.jedit.io.FileVFS,9.0,18.0,3.0,0.0,28.0,97.0,0.0
gjt.sp.jedit.options.FirewallOptionPane,7.0,2.0,3.0,0.0,11.0,27.0,0.0
gjt.sp.jedit.gui.FloatingWindowContainer,7.0,0.0,2.0,0.0,12.0,25.0,1.0
gjt.sp.jedit.buffer.FoldHandler,6.0,0.0,2.0,3.0,15.0,30.0,0.0
gjt.sp.jedit.textarea.FoldVisibilityManager,20.0,0.0,2.0,0.0,12.0,59.0,1.0
gjt.sp.jedit.gui.FontSelector,0.0,0.0,2.0,0.0,9.0,19.0,0.0
gjt.sp.jedit.gui.FontSelectorDialog,1.0,2.0,3.0,0.0,35.0,79.0,0.0
gjt.sp.jedit.GUIUtilities,35.0,0.0,2.0,0.0,60.0,167.0,2.0
gjt.sp.jedit.options.GeneralOptionPane,7.0,2.0,3.0,0.0,12.0,28.0,1.0
gjt.sp.jedit.gui.GrabKeyDialog,5.0,0.0,2.0,0.0,32.0,80.0,1.0
gjt.sp.jedit.textarea.Gutter,36.0,0.0,2.0,0.0,32.0,115.0,2.0
gjt.sp.jedit.options.GutterOptionPane,7.0,2.0,3.0,0.0,12.0,24.0,1.0
gjt.sp.jedit.proto.jeditresource.Handler,1.0,0.0,2.0,0.0,4.0,5.0,0.0
com.microstar.xml.HandlerBase,13.0,0.0,2.0,4.0,5.0,16.0,0.0
gjt.sp.jedit.gui.HelpViewer,3.0,0.0,2.0,0.0,60.0,136.0,0.0
gjt.sp.jedit.gui.HistoryModel,7.0,0.0,2.0,0.0,21.0,52.0,0.0
gjt.sp.jedit.gui.HistoryTextField,11.0,0.0,2.0,0.0,26.0,99.0,1.0
gjt.sp.jedit.search.HyperSearchRequest,4.0,1.0,3.0,0.0,22.0,47.0,0.0
gjt.sp.jedit.search.HyperSearchResult,4.0,0.0,2.0,0.0,6.0,18.0,0.0
gjt.sp.jedit.search.HyperSearchResults,7.0,0.0,2.0,0.0,32.0,69.0,2.0
gjt.sp.jedit.gui.IOProgressMonitor,1.0,0.0,2.0,0.0,17.0,34.0,0.0
gjt.sp.jedit.buffer.IndentFoldHandler,5.0,1.0,3.0,0.0,4.0,6.0,0.0
gjt.sp.jedit.gui.InputHandler,15.0,0.0,2.0,1.0,16.0,56.0,0.0
gjt.sp.jedit.pluginmgr.InstallPluginsDialog,0.0,2.0,3.0,0.0,42.0,95.0,0.0
gnu.regexp.IntPair,0.0,0.0,2.0,0.0,3.0,2.0,0.0
gjt.sp.util.IntegerArray,5.0,0.0,2.0,0.0,3.0,8.0,0.0
bsh.Interpreter,39.0,0.0,2.0,0.0,41.0,166.0,0.0
bsh.InterpreterError,0.0,0.0,2.0,0.0,2.0,2.0,0.0
gjt.sp.jedit.JARClassLoader,6.0,0.0,2.0,0.0,32.0,101.0,1.0
gjt.sp.jedit.gui.JCheckBoxList,5.0,0.0,2.0,0.0,13.0,36.0,1.0
gjt.sp.jedit.gui.JEditMetalTheme,7.0,0.0,2.0,0.0,5.0,14.0,0.0
gjt.sp.jedit.textarea.JEditTextArea,192.0,0.0,2.0,0.0,78.0,567.0,23.0
bsh.JJTParserState,0.0,0.0,2.0,0.0,6.0,28.0,0.0
bsh.JThis,89.0,1.0,3.0,0.0,43.0,96.0,0.0
gjt.sp.jedit.Java14,1.0,0.0,2.0,0.0,18.0,20.0,2.0
gjt.sp.jedit.gui.KeyEventWorkaround,2.0,0.0,2.0,0.0,8.0,17.0,0.0
gjt.sp.jedit.syntax.KeywordMap,6.0,0.0,2.0,0.0,9.0,31.0,0.0
bsh.LHS,3.0,0.0,2.0,0.0,21.0,32.0,0.0
gjt.sp.jedit.buffer.LineElement,10.0,0.0,2.0,0.0,4.0,14.0,0.0
gjt.sp.jedit.options.LoadSaveOptionPane,7.0,2.0,3.0,0.0,13.0,35.0,0.0
gjt.sp.util.Log,6.0,0.0,2.0,0.0,20.0,59.0,0.0
gjt.sp.jedit.gui.LogViewer,0.0,0.0,2.0,0.0,18.0,26.0,3.0
gjt.sp.jedit.Macros,21.0,0.0,2.0,0.0,35.0,110.0,4.0
gjt.sp.jedit.msg.MacrosChanged,0.0,0.0,2.0,0.0,2.0,2.0,0.0
gjt.sp.jedit.gui.MacrosMenu,3.0,0.0,3.0,0.0,14.0,24.0,0.0
gjt.sp.jedit.Marker,2.0,0.0,2.0,0.0,4.0,10.0,0.0
gjt.sp.jedit.gui.MarkersMenu,1.0,0.0,3.0,0.0,14.0,24.0,0.0
gjt.sp.jedit.MiscUtilities,33.0,0.0,2.0,0.0,30.0,116.0,5.0
gjt.sp.jedit.Mode,12.0,0.0,2.0,0.0,13.0,36.0,2.0
gjt.sp.jedit.ModeCatalogHandler,9.0,4.0,3.0,0.0,14.0,26.0,0.0
gjt.sp.jedit.options.ModeOptionPane,7.0,2.0,3.0,0.0,14.0,42.0,1.0
gjt.sp.jedit.msg.MultiSelectStatusChanged,0.0,0.0,2.0,0.0,2.0,2.0,1.0
bsh.Name,8.0,0.0,2.0,0.0,28.0,86.0,0.0
bsh.NameSpace,36.0,0.0,2.0,1.0,41.0,166.0,0.0
gjt.sp.jedit.buffer.OffsetManager,20.0,0.0,2.0,0.0,10.0,46.0,7.0
gjt.sp.jedit.gui.OpenWithEncodingMenu,0.0,0.0,3.0,0.0,10.0,15.0,0.0
gjt.sp.jedit.OperatingSystem,8.0,0.0,2.0,0.0,11.0,27.0,0.0
gjt.sp.jedit.OptionGroup,8.0,0.0,2.0,0.0,7.0,21.0,0.0
gjt.sp.jedit.gui.OptionsDialog,5.0,2.0,3.0,0.0,62.0,114.0,2.0
gjt.sp.jedit.options.OverviewOptionPane,7.0,2.0,3.0,0.0,13.0,16.0,0.0
gjt.sp.jedit.gui.PanelWindowContainer,7.0,0.0,2.0,0.0,32.0,79.0,7.0
bsh.ParseException,6.0,5.0,3.0,0.0,7.0,29.0,0.0
bsh.Parser,80.0,0.0,2.0,0.0,66.0,887.0,0.0
gjt.sp.jedit.syntax.ParserRule,0.0,0.0,2.0,0.0,2.0,2.0,1.0
gjt.sp.jedit.syntax.ParserRuleFactory,8.0,0.0,2.0,0.0,5.0,18.0,0.0
gjt.sp.jedit.syntax.ParserRuleSet,19.0,0.0,2.0,0.0,9.0,30.0,1.0
bsh.ParserTokenManager,4.0,0.0,2.0,0.0,9.0,111.0,0.0
gjt.sp.jedit.gui.PastePrevious,7.0,2.0,3.0,0.0,32.0,61.0,0.0
gjt.sp.jedit.pluginmgr.PluginList,0.0,0.0,2.0,0.0,19.0,27.0,2.0
gjt.sp.jedit.pluginmgr.PluginListDownloadProgress,0.0,0.0,2.0,0.0,18.0,32.0,0.0
gjt.sp.jedit.pluginmgr.PluginListHandler,5.0,8.0,3.0,0.0,16.0,39.0,0.0
gjt.sp.jedit.pluginmgr.PluginManager,0.0,0.0,2.0,0.0,28.0,64.0,0.0
gjt.sp.jedit.pluginmgr.PluginManagerProgress,7.0,0.0,2.0,0.0,34.0,65.0,1.0
gjt.sp.jedit.proto.jeditresource.PluginResURLConnection,3.0,0.0,2.0,0.0,14.0,31.0,1.0
bsh.Primitive,11.0,0.0,2.0,0.0,23.0,111.0,0.0
gjt.sp.jedit.options.PrintOptionPane,7.0,2.0,3.0,0.0,9.0,21.0,1.0
gjt.sp.jedit.msg.PropertiesChanged,0.0,0.0,2.0,0.0,2.0,2.0,0.0
gnu.regexp.RE,22.0,5.0,3.0,1.0,37.0,135.0,0.0
gnu.regexp.REException,3.0,0.0,2.0,0.0,8.0,13.0,0.0
gnu.regexp.REFilterInputStream,4.0,0.0,2.0,0.0,6.0,20.0,0.0
gnu.regexp.REFilterReader,4.0,0.0,2.0,0.0,6.0,20.0,0.0
gnu.regexp.REMatch,10.0,0.0,2.0,0.0,11.0,29.0,0.0
gnu.regexp.REMatchEnumeration,5.0,0.0,2.0,0.0,8.0,14.0,0.0
gjt.sp.jedit.search.RESearchMatcher,2.0,0.0,2.0,0.0,13.0,28.0,0.0
gnu.regexp.RESyntax,6.0,0.0,2.0,0.0,7.0,22.0,0.0
gnu.regexp.REToken,0.0,0.0,2.0,13.0,3.0,12.0,0.0
gnu.regexp.RETokenAny,0.0,3.0,3.0,0.0,5.0,8.0,0.0
gnu.regexp.RETokenBackRef,0.0,2.0,3.0,0.0,5.0,8.0,0.0
gnu.regexp.RETokenChar,0.0,4.0,3.0,0.0,7.0,12.0,0.0
gnu.regexp.RETokenEnd,0.0,2.0,3.0,0.0,6.0,9.0,0.0
gnu.regexp.RETokenEndSub,0.0,2.0,3.0,0.0,3.0,5.0,0.0
gnu.regexp.RETokenLookAhead,0.0,2.0,3.0,0.0,5.0,11.0,0.0
gnu.regexp.RETokenOneOf,0.0,3.0,3.0,0.0,8.0,22.0,0.0
gnu.regexp.RETokenPOSIX,0.0,3.0,3.0,0.0,7.0,22.0,0.0
gnu.regexp.RETokenRange,0.0,3.0,3.0,0.0,6.0,9.0,0.0
gnu.regexp.RETokenRepeated,0.0,3.0,3.0,0.0,5.0,22.0,0.0
gnu.regexp.RETokenStart,0.0,2.0,3.0,0.0,6.0,9.0,0.0
gnu.regexp.RETokenWordBoundary,0.0,2.0,3.0,0.0,6.0,8.0,0.0
gjt.sp.util.ReadWriteLock,5.0,0.0,2.0,0.0,7.0,20.0,0.0
gjt.sp.jedit.gui.RecentDirectoriesMenu,1.0,0.0,3.0,0.0,17.0,28.0,0.0
gjt.sp.jedit.gui.RecentFilesMenu,1.0,0.0,3.0,0.0,19.0,28.0,0.0
bsh.Reflect,14.0,0.0,2.0,0.0,48.0,138.0,0.0
bsh.ReflectError,0.0,0.0,2.0,0.0,2.0,4.0,0.0
bsh.ReflectManager,3.0,0.0,2.0,1.0,7.0,13.0,0.0
bsh.reflect.ReflectManagerImpl,2.0,1.0,3.0,0.0,3.0,4.0,0.0
gjt.sp.jedit.Registers,11.0,0.0,2.0,0.0,13.0,41.0,3.0
bsh.ReturnControl,0.0,0.0,2.0,0.0,3.0,2.0,0.0
gjt.sp.jedit.buffer.RootElement,10.0,0.0,2.0,0.0,5.0,16.0,0.0
gjt.sp.jedit.pluginmgr.Roster,0.0,0.0,2.0,0.0,8.0,14.0,1.0
gjt.sp.jedit.search.SearchAndReplace,29.0,0.0,2.0,0.0,39.0,127.0,1.0
gjt.sp.jedit.search.SearchBar,3.0,0.0,2.0,0.0,34.0,77.0,2.0
gjt.sp.jedit.search.SearchDialog,4.0,2.0,3.0,0.0,55.0,165.0,1.0
gjt.sp.jedit.msg.SearchSettingsChanged,0.0,0.0,2.0,0.0,2.0,2.0,0.0
gjt.sp.util.SegmentBuffer,2.0,0.0,2.0,0.0,3.0,7.0,0.0
gjt.sp.jedit.gui.SelectLineRange,1.0,2.0,3.0,0.0,32.0,52.0,0.0
gjt.sp.jedit.textarea.Selection,8.0,0.0,2.0,0.0,9.0,20.0,1.0
gjt.sp.jedit.SettingsReloader,1.0,0.0,2.0,0.0,11.0,21.0,1.0
gjt.sp.jedit.options.ShortcutsOptionPane,7.0,2.0,3.0,0.0,29.0,62.0,0.0
bsh.SimpleNode,18.0,0.0,2.0,35.0,12.0,38.0,0.0
gjt.sp.jedit.gui.SplashScreen,4.0,0.0,2.0,0.0,19.0,42.0,0.0
gjt.sp.jedit.gui.StatusBar,10.0,0.0,2.0,0.0,33.0,78.0,3.0
bsh.StringUtil,4.0,0.0,2.0,0.0,7.0,24.0,0.0
gjt.sp.jedit.options.StyleEditor,2.0,2.0,3.0,0.0,27.0,52.0,0.0
gjt.sp.jedit.options.StyleOptionPane,7.0,2.0,3.0,0.0,17.0,33.0,0.0
gjt.sp.jedit.options.StyleTableModel,6.0,0.0,2.0,0.0,10.0,22.0,0.0
gjt.sp.jedit.syntax.SyntaxStyle,3.0,0.0,2.0,0.0,2.0,5.0,1.0
bsh.TargetError,15.0,1.0,3.0,0.0,11.0,30.0,0.0
gjt.sp.jedit.textarea.TextAreaExtension,3.0,0.0,2.0,0.0,2.0,5.0,0.0
gjt.sp.jedit.options.TextAreaOptionPane,7.0,2.0,3.0,0.0,8.0,18.0,0.0
gjt.sp.jedit.textarea.TextAreaPainter,46.0,0.0,2.0,0.0,34.0,149.0,2.0
gjt.sp.jedit.TextUtilities,11.0,0.0,2.0,0.0,11.0,44.0,3.0
bsh.This,7.0,0.0,2.0,2.0,14.0,30.0,0.0
gjt.sp.jedit.gui.TipOfTheDay,0.0,2.0,3.0,0.0,31.0,59.0,0.0
bsh.Token,2.0,0.0,2.0,0.0,3.0,5.0,0.0
gjt.sp.jedit.syntax.Token,1.0,0.0,2.0,0.0,3.0,7.0,0.0
gjt.sp.jedit.syntax.TokenMarker,6.0,0.0,2.0,0.0,21.0,52.0,4.0
bsh.TokenMgrError,1.0,0.0,2.0,0.0,6.0,23.0,0.0
gjt.sp.jedit.options.ToolBarEditDialog,1.0,2.0,3.0,0.0,36.0,80.0,0.0
gjt.sp.jedit.gui.ToolBarManager,2.0,0.0,2.0,0.0,8.0,25.0,0.0
gjt.sp.jedit.options.ToolBarOptionPane,7.0,2.0,3.0,0.0,31.0,66.0,2.0
gnu.regexp.UncheckedRE,22.0,0.0,4.0,0.0,5.0,8.0,0.0
gjt.sp.jedit.buffer.UndoManager,10.0,0.0,2.0,0.0,12.0,33.0,3.0
gjt.sp.jedit.io.UrlVFS,20.0,4.0,3.0,0.0,11.0,17.0,0.0
gjt.sp.jedit.io.VFS,24.0,0.0,2.0,4.0,25.0,74.0,0.0
gjt.sp.jedit.browser.VFSBrowser,26.0,0.0,2.0,0.0,69.0,218.0,9.0
gjt.sp.jedit.browser.VFSFileChooserDialog,4.0,2.0,3.0,0.0,40.0,88.0,6.0
gjt.sp.jedit.io.VFSManager,18.0,0.0,2.0,0.0,30.0,78.0,1.0
gjt.sp.jedit.msg.VFSUpdate,5.0,1.0,3.0,0.0,4.0,9.0,0.0
gjt.sp.jedit.gui.VariableGridLayout,13.0,0.0,2.0,0.0,12.0,39.0,1.0
gjt.sp.jedit.View,42.0,0.0,2.0,0.0,60.0,229.0,14.0
gjt.sp.jedit.gui.ViewRegisters,0.0,2.0,3.0,0.0,29.0,46.0,0.0
gjt.sp.jedit.msg.ViewUpdate,3.0,0.0,2.0,0.0,6.0,13.0,0.0
gjt.sp.jedit.options.WindowTableModel,9.0,0.0,2.0,0.0,15.0,31.0,0.0
gjt.sp.util.WorkRequest,5.0,0.0,2.0,3.0,5.0,12.0,0.0
gjt.sp.util.WorkThread,10.0,0.0,2.0,0.0,14.0,38.0,1.0
gjt.sp.util.WorkThreadPool,8.0,0.0,2.0,0.0,21.0,57.0,0.0
gjt.sp.jedit.syntax.XModeHandler,6.0,7.0,3.0,0.0,22.0,80.0,3.0
bsh.XThis,5.0,2.0,3.0,0.0,8.0,17.0,0.0
com.microstar.xml.XmlException,4.0,0.0,2.0,0.0,2.0,6.0,0.0
com.microstar.xml.XmlParser,26.0,0.0,2.0,0.0,21.0,280.0,0.0
bsh.commands.dir,4.0,0.0,2.0,0.0,11.0,43.0,0.0
gjt.sp.jedit.jEdit,79.0,0.0,2.0,0.0,109.0,438.0,15.0
